"Downloaded on",01/02/2026,"20:55:03 EST"
"Search URL",https://www.congress.gov/search?q=%7B%22congress%22%3A%5B%22119%22%5D%2C%22source%22%3A%22all%22%2C%22bill-status%22%3A%22law%22%7D

"Legislation Number",URL,Congress,Title,Sponsor,"Date of Introduction",Committees,"Latest Action","Latest Action Date","Number of Cosponsors","Amends Bill","Date Offered","Date Submitted","Date Proposed","Amends Amendment"
"H.R. 5371",https://www.congress.gov/bill/119th-congress/house-bill/5371,"119th Congress (2025-2026)","Continuing Appropriations, Agriculture, Legislative Branch, Military Construction and Veterans Affairs, and Extensions Act, 2026","Cole, Tom [Rep.-R-OK-4]",09/16/2025,"House - Appropriations, Budget","Became Public Law No: 119-37.",11/12/2025,0,,,,,
"H.R. 4405",https://www.congress.gov/bill/119th-congress/house-bill/4405,"119th Congress (2025-2026)","Epstein Files Transparency Act","Khanna, Ro [Rep.-D-CA-17]",07/15/2025,"House - Judiciary","Became Public Law No: 119-38.",11/19/2025,24,,,,,
"H.R. 2808",https://www.congress.gov/bill/119th-congress/house-bill/2808,"119th Congress (2025-2026)","Homebuyers Privacy Protection Act","Rose, John W. [Rep.-R-TN-6]",04/10/2025,"House - Financial Services","Became Public Law No: 119-36.",09/05/2025,89,,,,,
"H.R. 2483",https://www.congress.gov/bill/119th-congress/house-bill/2483,"119th Congress (2025-2026)","SUPPORT for Patients and Communities Reauthorization Act of 2025","Guthrie, Brett [Rep.-R-KY-2]",03/31/2025,"House - Energy and Commerce, Education and Workforce, Judiciary, Financial Services | Senate - Health, Education, Labor, and Pensions","Became Public Law No: 119-44.",12/01/2025,1,,,,,
"H.R. 2316",https://www.congress.gov/bill/119th-congress/house-bill/2316,"119th Congress (2025-2026)","Wetlands Conservation and Access Improvement Act of 2025","Hurd, Jeff [Rep.-R-CO-3]",03/25/2025,"House - Natural Resources | Senate - Environment and Public Works","Became Public Law No: 119-40.",11/25/2025,3,,,,,
"H.R. 2215",https://www.congress.gov/bill/119th-congress/house-bill/2215,"119th Congress (2025-2026)","Salem Maritime National Historical Park Redesignation and Boundary Study Act","Moulton, Seth [Rep.-D-MA-6]",03/18/2025,"House - Natural Resources | Senate - Energy and Natural Resources","Became Public Law No: 119-25.",07/15/2025,0,,,,,
"H.R. 2170",https://www.congress.gov/bill/119th-congress/house-bill/2170,"119th Congress (2025-2026)","To name the Department of Veterans Affairs community-based outpatient clinic in Toms River, New Jersey, the Leonard G. 'Bud' Lomell, VA Clinic, and for other purposes.","Smith, Christopher H. [Rep.-R-NJ-4]",03/18/2025,"House - Veterans' Affairs | Senate - Veterans' Affairs","Became Public Law No: 119-35.",09/05/2025,11,,,,,
"H.R. 1968",https://www.congress.gov/bill/119th-congress/house-bill/1968,"119th Congress (2025-2026)","Full-Year Continuing Appropriations and Extensions Act, 2025","Cole, Tom [Rep.-R-OK-4]",03/10/2025,"House - Appropriations, Budget","Became Public Law No: 119-4.",03/15/2025,0,,,,,
"H.R. 1912",https://www.congress.gov/bill/119th-congress/house-bill/1912,"119th Congress (2025-2026)","Veteran Fraud Reimbursement Act of 2025","Connolly, Gerald E. [Rep.-D-VA-11]",03/06/2025,"House - Veterans' Affairs | Senate - Veterans' Affairs","Became Public Law No: 119-56.",12/12/2025,7,,,,,
"H.R. 1815",https://www.congress.gov/bill/119th-congress/house-bill/1815,"119th Congress (2025-2026)","VA Home Loan Program Reform Act","Van Orden, Derrick [Rep.-R-WI-3]",03/03/2025,"House - Veterans' Affairs | Senate - Veterans' Affairs","Became Public Law No: 119-31.",07/30/2025,0,,,,,
"H.R. 1512",https://www.congress.gov/bill/119th-congress/house-bill/1512,"119th Congress (2025-2026)","Taiwan Assurance Implementation Act","Wagner, Ann [Rep.-R-MO-2]",02/21/2025,"House - Foreign Affairs | Senate - Foreign Relations","Became Public Law No: 119-45.",12/02/2025,3,,,,,
"H.R. 1491",https://www.congress.gov/bill/119th-congress/house-bill/1491,"119th Congress (2025-2026)","Disaster Related Extension of Deadlines Act","Murphy, Gregory F. [Rep.-R-NC-3]",02/21/2025,"House - Ways and Means | Senate - Finance","Signed by President.",12/26/2025,2,,,,,
"H.R. 1316",https://www.congress.gov/bill/119th-congress/house-bill/1316,"119th Congress (2025-2026)","Maintaining American Superiority by Improving Export Control Transparency Act","Jackson, Ronny [Rep.-R-TX-13]",02/13/2025,"House - Foreign Affairs | Senate - Banking, Housing, and Urban Affairs","Became Public Law No: 119-34.",08/19/2025,2,,,,,
"H.R. 1043",https://www.congress.gov/bill/119th-congress/house-bill/1043,"119th Congress (2025-2026)","La Paz County Solar Energy and Job Creation Act","Gosar, Paul A. [Rep.-R-AZ-9]",02/06/2025,"House - Natural Resources | Senate - Energy and Natural Resources","Signed by President.",12/29/2025,2,,,,,
"H.R. 998",https://www.congress.gov/bill/119th-congress/house-bill/998,"119th Congress (2025-2026)","Internal Revenue Service Math and Taxpayer Help Act","Feenstra, Randy [Rep.-R-IA-4]",02/05/2025,"House - Ways and Means | Senate - Finance","Became Public Law No: 119-39.",11/25/2025,1,,,,,
